USERID|ROWNUM
1192797|1282
1192927|1283
1193199|1284
1193367|1285
1193375|1286
1193400|1287
1193450|1288
1193517|1289
1193599|1290
1193800|1291
1193840|1292
1193971|1293
1193979|1294
1193985|1295
1194169|1296
1194194|1297
1194257|1298
1194323|1299
1194349|1300
1194724|1301
1194788|1302
1194901|1303
1194924|1304
1195217|1305
1195415|1306
1195426|1307
1195448|1308
1195473|1309
1195569|1310
1195657|1311
1195664|1312
1195704|1313
1195800|1314
1195874|1315
1196009|1316
1196025|1317
1196499|1318
1196502|1319
1196517|1320
1196612|1321
1196622|1322
1196649|1323
1196796|1324
1196811|1325
1196970|1326
1197034|1327
1197124|1328
1197145|1329
1197355|1330
1197382|1331
1197452|1332
1197966|1333
1198151|1334
1198299|1335
1198469|1336
1198605|1337
1198682|1338
1198735|1339
1198759|1340
1198789|1341
1198866|1342
1199038|1343
1199293|1344
1199703|1345
1199966|1346
1200069|1347
1200073|1348
1200338|1349
1200402|1350
1200432|1351
1200457|1352
1200541|1353
1200582|1354
1200665|1355
1200745|1356
1200991|1357
1201298|1358
1201383|1359
1201428|1360
1201446|1361
1201572|1362
1201689|1363
1202051|1364
1202101|1365
1202192|1366
1202458|1367
1203301|1368
1203397|1369
1203423|1370
1203608|1371
1203984|1372
1204116|1373
1204152|1374
1204240|1375
1204348|1376
1204370|1377
1204552|1378
1204630|1379
1204716|1380
1204744|1381
1204775|1382
1204896|1383
1205217|1384
1205707|1385
1206373|1386
1206641|1387
1206883|1388
1207051|1389
1207089|1390
1207623|1391
1207801|1392
1207952|1393
1208827|1394
1209265|1395
1209648|1396
1209796|1397
1209922|1398
1209968|1399
1210268|1400
1210380|1401
1210385|1402
1210401|1403
1210427|1404
1210573|1405
1210622|1406
1210726|1407
1210776|1408
1210820|1409
1211141|1410
1211161|1411
1211290|1412
1211556|1413
1211619|1414
1212405|1415
1212608|1416
1212677|1417
1212695|1418
1212939|1419
1213102|1420
1213158|1421
1213618|1422
1213638|1423
1213682|1424
1213821|1425
1213877|1426
1214018|1427
1214131|1428
1214418|1429
1214436|1430
1214581|1431
1215060|1432
1215142|1433
1215236|1434
1215409|1435
1215613|1436
1215716|1437
1215929|1438
1216005|1439
1216220|1440
1216258|1441
1216440|1442
1216492|1443
1216537|1444
1217011|1445
1217199|1446
1217210|1447
1217349|1448
1217771|1449
1218032|1450
1218126|1451
1218158|1452
1218229|1453
1218320|1454
1218353|1455
1218811|1456
1218973|1457
1219144|1458
1219444|1459
1219468|1460
1219502|1461
1219639|1462
1219734|1463
1219844|1464
1220115|1465
1220447|1466
1220455|1467
1220609|1468
1220628|1469
1220675|1470
1221219|1471
1221319|1472
1221393|1473
1221539|1474
1221675|1475
1221926|1476
1221954|1477
1222025|1478
1222061|1479
1222081|1480
1222133|1481
1222242|1482
1222284|1483
1222382|1484
1222441|1485
1222479|1486
1222539|1487
1222652|1488
1222933|1489
1222952|1490
1223059|1491
1223078|1492
1223120|1493
1223276|1494
1223347|1495
1223394|1496
1223475|1497
1223534|1498
